id,event_id,restaurant,burger,description,neighborhood,address,latitude,longitude,available_start,available_end,hours,tags,restaurant_photo,photo_alt,maps_url,everout_url
burger-011,burger-week-2026,Burger Week Placeholder 011,Burger details TBD,Replace this row with the restaurant listed burger details,Downtown,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20011%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-012,burger-week-2026,Burger Week Placeholder 012,Burger details TBD,Replace this row with the restaurant listed burger details,Northwest,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20012%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-013,burger-week-2026,Burger Week Placeholder 013,Burger details TBD,Replace this row with the restaurant listed burger details,Southwest,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20013%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-014,burger-week-2026,Burger Week Placeholder 014,Burger details TBD,Replace this row with the restaurant listed burger details,Southeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20014%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-015,burger-week-2026,Burger Week Placeholder 015,Burger details TBD,Replace this row with the restaurant listed burger details,Northeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20015%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-016,burger-week-2026,Burger Week Placeholder 016,Burger details TBD,Replace this row with the restaurant listed burger details,North Portland,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20016%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-017,burger-week-2026,Burger Week Placeholder 017,Burger details TBD,Replace this row with the restaurant listed burger details,Downtown,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20017%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-018,burger-week-2026,Burger Week Placeholder 018,Burger details TBD,Replace this row with the restaurant listed burger details,Northwest,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20018%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-019,burger-week-2026,Burger Week Placeholder 019,Burger details TBD,Replace this row with the restaurant listed burger details,Southwest,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20019%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-020,burger-week-2026,Burger Week Placeholder 020,Burger details TBD,Replace this row with the restaurant listed burger details,Southeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20020%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
